"id_department","department","short_name","alias","id_type_grid","id_type","pid_department","section"
"4013","ЛАБОРАТОРИЯ ПРАКТИЧЕСКОЙ ПСИХОЛОГИИ И ПЕДАГОГИКИ ПРОФЕССИОНАЛЬНОГО СТАНОВЛЕНИЯ",,,"1","127","4010","-1"
"4012","ЛАБОРАТОРИЯ СОЦИАЛЬНО-ПСИХОЛОГИЧЕСКИХ ИССЛЕДОВАНИЙ ПРОБЛЕМЫ ЗДОРОВЬЯ И ПРОЕКТИРОВАНИЯ",,,"1","127","4010","-1"
"4011","СЕКТОР ПРОФОРИЕНТАЦИИ И СОЦИАЛЬНОЙ АДАПТАЦИИ",,,"1","82","4010","-1"
"4010","УПРАВЛЕНИЕ СОЦИАЛЬНОЙ РАБОТЫ",,,"1","126","0","-1"
"4009","ОТДЕЛ БИОЛОГИИ И ЭКОЛОГИИ РАСТЕНИЙ",,,"1","71","4003","-1"
"4008","ОТДЕЛ ГЕНЕТИКИ И РЕПРОДУКТИВНОЙ БИОЛОГИИ",,,"1","71","4003","-1"
"4101","ОБЩЕЖИТИЕ №2-3",,,"1","129","4097","-1"
"4099","ОБЩЕЖИТИЕ №5",,,"1","129","4097","-1"
"4100","ОБЩЕЖИТИЕ №4",,,"1","129","4097","-1"
"4098","ОБЩЕЖИТИЕ №6",,,"1","129","4097","-1"
"4097","ОБЩЕЖИТИЯ",,,"1","70","0","-1"
"4007","ОТДЕЛ ДЕНДРОЛОГИИ",,,"1","71","4003","-1"
"4006","ОТДЕЛ ИНТРОДУКЦИИ ЦВЕТОЧНО-ДЕКОРАТИВНЫХ КУЛЬТУР",,,"1","71","4003","-1"
"4005","ОТДЕЛ ФЛОРЫ И РАСТИТЕЛЬНОСТИ",,,"1","71","4003","-1"
"4004","ХОЗЯЙСТВЕННЫЙ ОТДЕЛ",,,"1","71","4003","-1"
"4003","УЧЕБНО-НАУЧНЫЙ ЦЕНТР БОТАНИЧЕСКИЙ САД",,,"1","124","0","-1"
"3997","СЕКТОР ОРГАНИЗАЦИИ ПРАКТИК, ОЛИМПИАД И ПОВЫШЕНИЯ КВАЛИФИКАЦИИ",,,"1","82","3994","-1"
"3996","СЕКТОР ОРГАНИЗАЦИИ УЧЕБНОГО ПРОЦЕССА",,,"1","82","3994","-1"
"3995","УЧЕБНЫЙ СЕКТОР",,,"1","82","3994","-1"
"3994","УЧЕБНОЕ УПРАВЛЕНИЕ",,,"1","126","0","-1"
"3991","ПРОФИЛАКТОРИЙ",,,"1","124","3977","-1"
"3990","УЧЕБНО-ЛАБОРАТОРНЫЙ КОРПУС",,,"1","128","3977","-1"
"3989","УЧЕБНЫЙ КОРПУС № 12",,,"1","128","3977","-1"
"3988","УЧЕБНЫЙ КОРПУС №010",,,"1","128","3977","-1"
"3987","УЧЕБНЫЙ КОРПУС №1",,,"1","128","3977","-1"
"3986","УЧЕБНЫЙ КОРПУС №1 ПИ",,,"1","128","3977","-1"
"3985","УЧЕБНЫЙ КОРПУС №11",,,"1","128","3977","-1"
"3984","УЧЕБНЫЙ КОРПУС №3",,,"1","128","3977","-1"
"3983","УЧЕБНЫЙ КОРПУС №4",,,"1","128","3977","-1"
"3982","УЧЕБНЫЙ КОРПУС №5",,,"1","128","3977","-1"
"3981","УЧЕБНЫЙ КОРПУС №6",,,"1","128","3977","-1"
"3980","УЧЕБНЫЙ КОРПУС №7",,,"1","128","3977","-1"
"3979","УЧЕБНЫЙ КОРПУС №8",,,"1","128","3977","-1"
"3978","УЧЕБНЫЙ КОРПУС №9",,,"1","128","3977","-1"
"3977","УЧЕБНЫЕ КОРПУСА",,,"1","70","0","-1"
