"id_discipline","id_dep","discipline"
"4349","3879","Аналитическая геометрия и линейная алгебра"
"4350","3879","Векторный и тензорный анализ"
"4676","3879","Дифференциальные уравнения."
"4348","3879","Математический анализ"
"4684","3879","Моделирование"
"4430","3879","Научно-исследовательская работа в семестре"
"4355","3879","Программирование"
"4744","3879","Современные компьютерные технологии"
"4680","3879","Статистика"
"4353","3879","Теория вероятностей и математическая"
"4351","3879","Теория функций комплексного переменного"
"4860","3879","Физика конденсированного состояния"
"4748","3879","Фотонные кристаллы"
"4359","3879","Химия"
"11155","3879","Введение в физику"
"7949","4301","2-ой иностранный язык (нем)"
"3736","4265","Web-дизайн"
"7255","4349","Авиационная метеорология"
"3304","3952","Автоматизация научных исследований и производства изделий электронной техники"
"1568","3952","Автоматизация обработки биомедицинской информации"
"1239","4087764","Автоматизация производственных процессов "
"2004","3952","Автоматизированные системы научных исследований"
"7234","4349","Агроландшафтоведение"
"11142","4204","Административное право"
"3071","4087769","Актерское мастерство"
"7578","4301","Актуальные проблемы военной истории России XX-XXI вв."
"9367","3822","Актуальные проблемы гражданского права"
"9369","3822","Актуальные проблемы гражданского процесса"
"9371","3822","Актуальные проблемы земельного и экологического права"
"9664","3822","Актуальные проблемы информационного права"
"8002","4301","Актуальные проблемы исторических исследований"
"3309","3952","Актуальные проблемы современной электроники и наноэлектроники"
"3711","4265","Актуальные проблемы современности и журналистика"
"6131","4087765","Актуальные проблемы теории и практики современной психологии"
"9368","3822","Актуальные проблемы уголовного права"
"9370","3822","Актуальные проблемы уголовного процесса"
"9377","3822","Актуальные проблемы финансового права"
"8124","3964","Алгебра"
"8116","3964","Алгебра и геометрия"
"5646","3879","Алгоритмы точных машинных вычислений"
"5010","3879","Альтернативные источники энергии"
"3913","4087768","Альтернативные методики"
"9356","3822","Альтернативные способы разрешения споров"
"6274","4047","Анализ данных в социологии"
"3311","3952","Анализ данных для решения социально- экономических задач"
"1593","3952","Анализ данных для решения социально-экономических задач"
"4414","3879","Анализ сложных биофизических сигналов"
"10478","4204","Аналитическая геометрия"
"1245","4087764","Аналитическая химия"
"6886","4087778","Анатомия и возрастная физиология"
"6040","4087765","Анатомия центральной нервной системы"
"4300","4087768","Анатомия человека"
"3259","4087770","Анатомия, физиология и патология органов слуха, речи и зрения"
"8741","3879","Англ яз"
"7319","4329","Английский язык"
"5390","3879","Английский язык"
"5839","4370","Английский язык и межкультурная коммуникация"
"8129","3964","Английский язык(перев.)"
"6717","4087778","Антикризисное управление"
"7565","4301","Античная древность в отечественной и мировой культуре"
"8447","3964","Аппаратные ср-ва выч.техники"
"8357","3964","Аппаратные средства вычислительной техники"
"7614","4301","Арбитражный процесс"
"6204","4087765","Арттерапевтические технологии"
"7845","4301","Археол. памятники Востока,Минойской и Микенской Греции"
"7550","4301","Археология"
"7975","4301","Архивоведение"
"7808","4301","Архивы Саратовского Поволжья"
"5440","3879","Архитектура вычислительных систем"
"9681","4087776","Архитектура компьютера"
"11107","4204","Асимптотические методы"
"7153","4349","Астрономия"
"2447","3935","Астрофизика"
"1810","3952","Атомная и ядерная физика"
"2068","4087763","Аудиотехника"
"10301","3831","Аудит"
"2177","4087763","Базы данных"
"11086","4204","Банковское дело"
"7857","4301","Банковское право"
"4290","4087768","Баскетбол"
"9683","4087776","Безопасность движения"
"3910","4087768","Безопасность жизнедеятельности"
"1246","4087764","Безопасность жизнедеятельности"
"4234","4087768","Безопасность на дороге и в общественном транспорте "
"4232","4087768","Безопасный отдых и туризм "
"8451","3964","БЖД"
"2170","4087763","Бизнес планирование"
"6772","4087778","Бизнес-планирование"
"9582","3822","Бизнес-структуры в процессах политического управления"
"5840","4370","Биогеография"
"5740","4370","Биологическая химия"
"1247","4087764","Биология"
"6021","4370","Биология размножения и развития"
"5188","3879","Биомедицинская электроника"
"1940","3952","Биомедицинские вычислительные системы и комплексы"
"2030","3952","Биомедицинские нанотехнологии"
"4419","3879","Биометрия"
"4112","4087768","Биомеханика "
"1990","3952","Биомеханика искусственных органов"
