"id_group","grp_type","id_department","number","form_education","number_rus"
"60","1","4204","311","0","311"
"59","1","4204","211","0","211"
"1442","1","4087776","431","1","431"
"37","1","4204","111","0","111"
"4610","1","3964","211","0","211"
"480","1","4349","211","0","211"
"1700","1","4087776","391","0","391"
"2416","1","4265","301","0","301"
"4355","1","3831","122","0","122"
"2104","-1","4087764","1411","0","1411"
"2103","-1","4087764","1311","0","1311"
"788","-1","4087764","171","0","1171"
"2105","-1","4087764","1111","0","1111"
"806","-1","4087764","131","0","2131"
"2647","1","3822","331","1","331"
"2195","2","4265","252","0","252"
"2102","-1","4087764","1212","0","1212"
"2332","1","3852","313","0","313"
"2101","-1","4087764","1211","0","1211"
"2001","1","4087776","171","1","171"
"2000","1","4087776","161","1","161"
"1998","1","4087776","272","1","272"
"2579","1","4087775","315","1","315"
"1655","1","4087776","101","0","101"
"1651","1","4087776","191","0","191"
"2154","-1","4087764","1281","0","1281"
"173","0","4329","151","0","151"
"174","1","3964","111","0","111"
"1757","1","4087776","313","1","313"
"176","1","4301","111","0","111"
"182","0","4329","251","0","251"
"3966","1","4087768","314 (2)","0","314 (2)"
"2413","1","4329","303","0","303"
"3812","1","4370","112","1","112"
"189","0","4329","351","0","351"
"4918","1","3831","241","2","241"
"199","0","4329","451","0","451"
"200","1","4265","111","0","111"
"201","1","4265","112","0","112"
"202","1","4265","121","0","121"
"203","1","4265","122","0","122"
"204","1","4265","123","0","123"
"4041","2","3831","151","1","151"
"206","1","4265","131","0","131"
"207","1","4265","132","0","132"
"208","1","4265","141","0","141"
"209","1","4265","211","0","211"
"210","1","4265","212","0","212"
"211","1","4265","311","0","311"
"212","1","4265","312","0","312"
"213","1","4265","411","0","411"
"214","1","4265","412","0","412"
"4578","1","4329","131","0","131"
"217","1","4265","221","0","221"
"218","1","4265","222","0","222"
"219","1","4265","223","0","223"
"221","1","4265","321","0","321"
"222","1","4265","322","0","322"
"223","1","4265","323","0","323"
"3736","1","4265","233","0","233"
"225","1","4265","421","0","421"
"226","1","4265","422","0","422"
"227","1","4265","423","0","423"
"3734","1","4265","242","0","242"
"4163","0","3822","451","0","451"
"235","1","4265","231","0","231"
"236","1","4265","232","0","232"
"238","1","4265","331","0","331"
"239","1","4265","332","0","332"
"4855","0","4370","231","0","231"
"241","1","4265","431","0","431"
"242","1","4265","432","0","432"
"4434","2","4329","121","1","121"
"247","1","4265","241","0","241"
"248","1","4265","341","0","341"
"249","1","4265","441","0","441"
"251","1","4265","111","1","111"
"252","1","4265","211","1","211"
"253","1","4265","311","1","311"
"254","1","4265","411","1","411"
"255","1","4265","511","1","511"
"257","1","4265","121","1","121"
"258","1","4265","221","1","221"
"259","1","4265","321","1","321"
"260","1","4265","421","1","421"
"261","1","4265","521","1","521"
"3861","1","4087775","324","1","324"
"3254","1","4087775","224","1","224"
"3253","1","4087775","221","1","221"
"267","0","4329","551","0","551"
"272","1","4047","111","0","111"
"4686","1","3879","3001","1","3001"
"274","1","3852","111","0","111"
"3929","1","4087768","113(1)","0","113(1)"
"3360","1","3822","221","0","221"
"278","1","3852","112","0","112"
"280","1","3852","211","0","211"
"281","1","3852","212","0","212"
"283","1","3852","311","0","311"
"284","1","3852","312","0","312"
"286","1","3852","411","0","411"
"2362","1","4329","301","0","301"
"3234","2","4087776","255","1","255"
"2760","1","4265","401","0","401"
"2182","2","3852","151","0","151"
"2759","1","4087775","203","0","203"
"298","1","3852","131","0","131"
"299","1","3852","231","0","231"
"300","1","3852","331","0","331"
"301","1","3852","431","0","431"
"2180","1","3852","141","0","141"
"3237","2","4087776","256","1","256"
"2409","1","4087775","301","0","301"
"4523","1","3879","3082","0","3082"
"321","1","3952","437","1","437"
"337","1","4047","141","0","141"
"342","1","4204","212","0","212"
"4546","2","3879","2224","0","2224"
"2765","-1","4087764","2251","0","2251"
"346","1","4204","341","0","341"
"347","1","4204","241","0","241"
"348","1","4204","261","0","261"
"1933","2","4087776","251","1","251"
"352","1","4204","231","0","231"
"353","1","4204","331","0","331"
"354","1","4204","361","0","361"
"2084","1","4087776","121","0","121"
"359","1","4204","141","0","141"
"361","1","4204","131","0","131"
"362","1","4204","112","0","112"
"4553","2","4204","118","0","118"
"3586","1","4087769","111","1","111"
"366","1","4204","161","0","161"
"369","1","4204","441","0","441"
"370","1","4204","411","0","411"
"4513","1","3879","2032","0","2032"
"373","1","4204","412","0","412"
"374","1","4204","431","0","431"
"3911","1","4087765","510","2","510"
"3677","3","4204","301","0","301"
"1038","-1","4047","421","0","421"
"4556","3","4204","203","0","203"
"381","1","4204","312","0","312"
"4805","0","4329","252","0","252"
"386","1","4204","461","0","461"
"2683","1","3952","461","0","461"
"3335","2","3952","208","0","208"
"3691","2","3952","209","0","209"
"2995","1","4204","351","0","351"
"403","1","4370","121","0","121"
"405","1","3964","151","0","151"
"2728","2","3964","172","0","172"
"4728","3","3879","2BF","0","2БФ"
"4161","2","4087765","168","0","168"
"413","1","3822","131","0","131"
"414","0","3822","141","0","141"
"415","0","3822","151","0","151"
"4332","1","4370","412","0","412"
"421","1","3822","231","0","231"
"422","0","3822","241","0","241"
"2437","1","3822","211","0","211"
"3883","3","3920","391","0","391"
"4898","1","4087778","221","2","221"
"1552","0","3822","351","0","351"
"429","1","3822","331","0","331"
"2208","2","4349","225","0","225"
"4154","1","3822","211","2","211"
"3359","2","3935","114","0","114"
"439","1","4370","221","0","221"
"440","1","4370","222","0","222"
"441","1","4370","322","0","322"
"2085","1","3831","221","0","221"
"443","1","4370","321","0","321"
"4029","2","4087775","107","0","107"
"445","1","4370","122","0","122"
"3332","2","3952","109","0","109"
"448","1","4370","421","0","421"
"449","1","4370","422","0","422"
"450","0","3964","131","0","131"
"1328","1","4087775","102","0","102"
"453","1","3964","121","0","121"
"456","0","3964","132","0","132"
