"id_archive","archive"
"1","2012/13 уч.г. 1 сем., часть 1"
"2","2012/13 уч.г. 1 сем., часть 2"
"3","2012/13 уч.г. 2 сем., часть 1"
"4","2012/13 уч.г. 2 сем., часть 2"
"5","2013/14 уч.г. 1 сем., часть 1"
"6","2013/14 уч.г. 1 сем., часть 2"
"7","2013/14 уч.г. 2 сем., часть 1"
"8","2013/14 уч.г. 2 сем., часть 2"
"9","2014/15 уч.г. 1 сем., часть 1"
"10","2014/15 уч.г. 1 сем., часть 2"
"11","2014/15 уч.г. 2 сем., часть 1"
"12","2014/15 уч.г. 2 сем., часть 2"
"13","2015/16 уч.г. 1 сем., часть 1"
"14","2015/16 уч.г. 1 сем., часть 2"
"15","2015/16 уч.г. 2 сем., часть 1"
"16","2015/16 уч.г. 2 сем., часть 2"
"17","2016/17 уч.г. 1 сем., часть 1"
"18","2016/17 уч.г. 1 сем., часть 2"
"19","2016/17 уч.г. 2 сем., часть 1"
"20","2016/17 уч.г. 2 сем., часть 2"
"21","2016/17 уч.г. 2 сем., часть 3"
"22","2016/17 уч.г. 2 сем., часть 4"
"23","2017/18 уч.г. 1 сем., часть 1"
"24","2017/18 уч.г. 1 сем., часть 2"
"25","2017/18 уч.г. 2 сем., часть 1"
"26","2017/18 уч.г. 2 сем., часть 2"
"27","2017/18 уч.г. 2 сем., часть 3"
"28","2017/18 уч.г. 2 сем., часть 4"
"29","2018/19 уч.г. 1 сем., часть 1"
"30","2018/19 уч.г. 1 сем., часть 2"
"31","2018/19 уч.г., 1 сем., часть 3"
"32","2018/19 уч.г., 1 сем., часть 4"
"33","2018/19 уч.г., 2 сем., часть 1"
"34","2018/19 уч.г., 2 сем., часть 2"
"35","2018/19 уч.г., 2 сем., часть 3"
"36","2018/19 уч.г., 2 сем., часть 4"
"37","2019/20 уч.г., 1 сем., часть 1"
"38","2019/20 уч.г., 1 сем., часть 2"
"39","2019/20 уч.г., 1 сем., часть 3"
"40","2019/20 уч.г., 1 сем., часть 4"
"41","2019/20 уч.г., 2 сем., часть 1"
"42","2019/20 уч.г., 2 сем., часть 2"
"43","2019/20 уч.г., 2 сем., часть 3"
"44","2019/20 уч.г., 2 сем., часть 4"
"45","2020/21 уч.г. 1 сем., часть 1"
"46","2020/21 уч.г. 1 сем., часть 2"
"47","2020/21 уч.г. 1 сем., часть 3"
"48","2020/21 уч.г. 1 сем., часть 4"
"49","2020/21 уч.г. 2 сем., часть 1"
"50","2020/21 уч.г. 2 сем., часть 2"
"51","2021/22 уч.г. 1 сем., часть 1"
"52","2021/22 уч.г. 1 сем., часть 2"
"53","2021/22 уч.г. 2 сем., часть 1"
"54","2021/22 уч.г. 2 сем., часть 2"
