"lesson","begin","end","id_type"
"1","08:20:00","09:50:00","1"
"2","10:00:00","11:35:00","1"
"3","12:05:00","13:40:00","1"
"4","13:50:00","15:25:00","1"
"5","15:35:00","17:10:00","1"
"6","17:20:00","18:40:00","1"
"7","18:45:00","20:05:00","1"
"8","20:10:00","21:30:00","1"
"1","08:45:00","10:15:00","2"
"2","10:25:00","11:55:00","2"
"3","12:25:00","13:55:00","2"
"4","14:05:00","15:35:00","2"
"1","09:00:00","10:30:00","3"
"2","10:40:00","12:10:00","3"
"3","12:30:00","14:00:00","3"
"4","14:10:00","15:40:00","3"
"5","15:50:00","17:20:00","3"
"6","17:30:00","19:00:00","3"
"7","19:10:00","20:40:00","3"
"5","15:45:00","17:15:00","2"
