"iid","nid","tid","parent_iid"
"1","1481","3582",NULL
"2","912","1071",NULL
"3","41611","194",NULL
"4","97424","3533",NULL
"5","1174","1813",NULL
"6","1567","2463",NULL
"7","716","1628",NULL
"8","1461","593",NULL
"9","276","385",NULL
"10","90311","3509",NULL
"11","1476","1306",NULL
"12","791","1557",NULL
"13","100404","3650",NULL
"14","78093","3439",NULL
"15","48133","3538",NULL
"16","1669","2787",NULL
"17","4600","1033",NULL
"18","46869","891",NULL
"19","66336","3278",NULL
"20","5093","1196",NULL
"21","1065","2368",NULL
"22","764","2562",NULL
"23","1457","1725",NULL
"24","1221","2712",NULL
"25","561","3445",NULL
"26","326","257",NULL
"27","44032","3101",NULL
"28","57463","736",NULL
"29","41977","2879",NULL
"30","101604","3392",NULL
"31","178","902",NULL
"32","268","386",NULL
"33","100516","3215",NULL
"34","4770","612",NULL
"35","528","2296",NULL
"36","1522","2420",NULL
"37","1159","2523",NULL
"38","5507","1266",NULL
"39","41685","3367",NULL
"40","432","913",NULL
"41","490","1177",NULL
"42","1084","2342",NULL
"43","994","1131",NULL
"44","925","1073",NULL
"45","1704","1752",NULL
"46","1754","2790",NULL
"47","344","1264",NULL
"48","219","387",NULL
"49","1591","1267",NULL
"50","44245","1074",NULL
"51","100028","3626",NULL
"52","900","1075",NULL
"53","97420","3507",NULL
"54","48274","1076",NULL
"55","111556","892",NULL
"56","508","1156",NULL
"57","48343","3451",NULL
"58","4760","3051",NULL
"59","606","1370",NULL
"60","433","915",NULL
"61","1183","3566",NULL
"62","5237","1350",NULL
"63","69162","3316",NULL
"64","4664","2740",NULL
"65","57779","737",NULL
"66","1047","3017",NULL
"67","47253","2983",NULL
"68","70627","3354",NULL
"69","1004","1144",NULL
"70","214","282",NULL
"71","329","1162",NULL
"72","688","986",NULL
"73","45901","196",NULL
"74","117","961",NULL
"75","4741","554",NULL
"76","70872","3399",NULL
"77","974","1054",NULL
"78","184","390",NULL
"79","1469","1709",NULL
"80","261","971",NULL
"81","396","812",NULL
"82","299","290",NULL
"83","4771","613",NULL
"84","4720","575",NULL
"85","4742","555",NULL
"86","97830","3638",NULL
"87","690","2568",NULL
"88","100421","3591",NULL
"89","100299","391",NULL
"90","4943","3294",NULL
"91","60189","738",NULL
"92","1162","132",NULL
"93","70889","562",NULL
"94","66322","1182",NULL
"95","3202","353",NULL
"96","1456","1719",NULL
"97","1384","2094",NULL
"98","905","1077",NULL
"99","1341","654",NULL
"100","60584","3723",NULL
"101","100420","3592",NULL
"102","591","1371",NULL
"103","544","2297",NULL
"104","213","2256",NULL
"105","59554","3244",NULL
"106","6304","197",NULL
"107","68346","1294",NULL
"108","60803","2362",NULL
"109","44051","2684",NULL
"110","1473","595",NULL
"111","66324","1197",NULL
"112","1578","1268",NULL
"113","269","1",NULL
"114","112059","656",NULL
"115","434","917",NULL
"116","4656","1329",NULL
"117","156","863",NULL
"118","138","395",NULL
"119","100236","3611",NULL
"120","991","1117",NULL
"121","69672","3345",NULL
"122","998","1139",NULL
"123","4608","2547",NULL
"124","2798","374",NULL
"125","44888","134",NULL
"126","41596","198",NULL
"127","481","957",NULL
"128","1502","2435",NULL
"129","95000","1172",NULL
"130","1046","2349",NULL
"131","435","918",NULL
"132","1181","135",NULL
"133","57546","741",NULL
"134","142","864",NULL
"135","285","397",NULL
"136","436","919",NULL
"137","501","893",NULL
"138","54725","2762",NULL
"139","44029","2384",NULL
"140","835","2884",NULL
"141","872","1607",NULL
"142","244","398",NULL
"143","1286","3598",NULL
"144","100422","3691",NULL
"145","100238","3602",NULL
"146","60769","743",NULL
"147","97667","3243",NULL
"148","1145","2213",NULL
"149","755","1638",NULL
"150","44591","3740",NULL
"151","1693","399",NULL
"152","1200","138",NULL
"153","84892","2369",NULL
"154","45906","199",NULL
"155","806","305",NULL
"156","69984","1973",NULL
"157","1739","1766",NULL
"158","1278","660",NULL
"159","1668","1732",NULL
"160","765","1372",NULL
"161","41777","1779",NULL
"162","398","814",NULL
"163","151","400",NULL
"164","1420","3696",NULL
"165","44162","1650",NULL
"166","1255","661",NULL
"167","345","1186",NULL
"168","42009","2885",NULL
"169","1634","2500",NULL
"170","44264","2722",NULL
"171","167","904",NULL
"172","1670","1734",NULL
"173","484","958",NULL
"174","98189","3594",NULL
"175","333","274",NULL
"176","6199","2009",NULL
"177","71074","3400",NULL
"178","1503","3151",NULL
"179","44089","1668",NULL
"180","2776","340",NULL
"181","100009","3585",NULL
"182","1635","1786",NULL
"183","1201","139",NULL
"184","57226","747",NULL
"185","69369","3577",NULL
"186","45912","202",NULL
"187","926","1079",NULL
"188","74495","3391",NULL
"189","1040","2968",NULL
"190","4033","662",NULL
"191","1007","1360",NULL
"192","44875","3067",NULL
"193","451","2084",NULL
"194","74729","2886",NULL
"195","401","818",NULL
"196","4719","577",NULL
"197","47167","403",NULL
"198","1309","663",NULL
"199","402","819",NULL
"200","4704","564",NULL
"201","71796","3319",NULL
"202","1629","1271",NULL
"203","1728","404",NULL
"204","58690","3361",NULL
"205","3222","356",NULL
"206","609","2963",NULL
"207","41327","2032",NULL
"208","44859","3045",NULL
"209","286","405",NULL
"210","1086","2339",NULL
"211","71107","3324",NULL
"212","691","2549",NULL
"213","1636","2295",NULL
"214","57081","664",NULL
"215","403","820",NULL
"216","188","406",NULL
"217","1356","665",NULL
"218","1225","2571",NULL
"219","702","987",NULL
"220","1694","407",NULL
"221","1001","1142",NULL
"222","1042","2859",NULL
"223","220","301",NULL
"224","68636","2217",NULL
"225","1740","1767",NULL
"226","1171","141",NULL
"227","96442","3550",NULL
"228","173","905",NULL
"229","100418","3649",NULL
"230","41954","2888",NULL
"231","107679","3530",NULL
"232","111110","988",NULL
"233","44614","1495",NULL
"234","652","2565",NULL
"235","5095","1224",NULL
"236","871","1608",NULL
"237","169","906",NULL
"238","1175","142",NULL
"239","370","315",NULL
"240","97402","1727",NULL
"241","57382","748",NULL
"242","298","291",NULL
"243","102554","3474",NULL
"244","1076","2350",NULL
"245","115250","3672",NULL
"246","1649","1499",NULL
"247","363","1161",NULL
"248","1303","668",NULL
"249","60581","750",NULL
"250","47476","1651",NULL
"251","627","2737",NULL
"252","100208","2961",NULL
"253","4874","545",NULL
"254","4756","608",NULL
"255","4755","1527",NULL
"256","2311","258",NULL
"257","43947","2889",NULL
"258","1471","1710",NULL
"259","103","408",NULL
"260","266","974",NULL
"261","233","2169",NULL
"262","745","1337",NULL
"263","2778","341",NULL
"264","69680","3381",NULL
"265","144","866",NULL
"266","1628","1272",NULL
"267","44050","410",NULL
"268","615","989",NULL
"269","1274","670",NULL
"270","849","1590",NULL
"271","768","1669",NULL
"272","505","894",NULL
"273","1176","143",NULL
"274","3215","354",NULL
"275","1671","1735",NULL
"276","71462","3542",NULL
"277","1637","2842",NULL
"278","100459","3459",NULL
"279","375","2504",NULL
"280","1104","1291",NULL
"281","1202","2101",NULL
"282","83789","3468",NULL
"283","47677","1653",NULL
"284","115982","3698",NULL
"285","45477","2962",NULL
"286","44616","1492",NULL
"287","100711","8",NULL
"288","57233","751",NULL
"289","86061","3520",NULL
"290","41295","205",NULL
"291","45911","206",NULL
"292","5235","1349",NULL
"293","287","413",NULL
"294","792","1342",NULL
"295","90599","1034",NULL
"296","807","306",NULL
"297","98","415",NULL
"298","756","1639",NULL
"299","3217","355",NULL
"300","979","1059",NULL
"301","470","945",NULL
"302","1069","3046",NULL
"303","1051","2370",NULL
